,Total H-Bonds,Total Contacts,Instant H-Bonds,Instant Contacts,RXN Distance,Max Frequency Distance,SASA_TCR,SASA_pMHC,RMSF_TCR,RMSF_pMHC,GYR_TCR,GYRx_TCR,GYRy_TCR,GYRz_TCR,GYR_pMHC,GYRx_pMHC,GYRy_pMHC,GYRz_pMHC,Bond Lifetime
1,54.0,4195.333333333333,6.122,286.573,8.866,6.313,217.259,198.949,0.0991,0.0892,2.448,1.605,2.047,2.288,2.368,1.555,2.057,2.127,29547.466666666667
2,44.66666666666666,2681.333333333333,5.102,227.455,8.559,6.111000000000001,216.958,196.748,0.0941,0.0644,2.458,1.605,2.0869999999999997,2.2880000000000003,2.3680000000000003,1.605,2.0469999999999997,2.137,3057.7
3,28.66666666666667,2344.0,5.102,228.457,8.252,6.212000000000001,215.158,201.15099999999998,0.0842,0.0743,2.458,1.645,2.077,2.298,2.358,1.635,1.9969999999999999,2.137,3084.166666666666
4,24.66666666666667,2164.333333333333,3.0610000000000004,163.327,8.691,6.313,215.358,202.15099999999998,0.0793,0.0941,2.488,1.605,2.0869999999999997,2.318,2.3480000000000003,1.585,2.037,2.1069999999999998,2425.1666666666665
5,39.66666666666666,3007.666666666666,4.082,241.483,8.34,6.111000000000001,216.958,203.752,0.0743,0.0842,2.468,1.605,2.0869999999999997,2.3080000000000003,2.3480000000000003,1.605,2.0669999999999997,2.117,3555.366666666667
6,24.66666666666667,1675.666666666667,2.041,69.138,8.384,6.111000000000001,215.458,199.55,0.0842,0.0694,2.448,1.635,2.057,2.278,2.3480000000000003,1.605,2.017,2.117,1287.5
7,56.33333333333334,3604.333333333334,6.122000000000001,237.475,8.735,6.212000000000001,217.359,197.649,0.0842,0.0743,2.478,1.585,2.157,2.3080000000000003,2.378,1.575,2.077,2.167,7403.466666666666
8,38.333333333333336,2398.6666666666665,5.102,207.415,8.866,6.111000000000001,221.96099999999998,198.74900000000002,0.0743,0.0644,2.488,1.635,2.097,2.318,2.358,1.605,2.037,2.1069999999999998,2257.1
9,43.0,3913.666666666666,6.122000000000001,265.531,8.91,6.212000000000001,220.46,198.84900000000002,0.0991,0.0743,2.488,1.605,2.1069999999999998,2.318,2.3680000000000003,1.585,2.037,2.117,8707.7
10,42.333333333333336,2543.333333333333,6.122000000000001,234.46900000000002,8.779,6.212000000000001,218.25900000000001,198.149,0.0842,0.0644,2.478,1.645,2.0869999999999997,2.278,2.3480000000000003,1.555,2.0669999999999997,2.1069999999999998,3127.066666666666
11,47.66666666666666,2757.333333333333,4.082,200.40099999999998,8.559,6.313,218.459,198.549,0.0694,0.0743,2.468,1.635,2.0669999999999997,2.258,2.3680000000000003,1.615,2.0069999999999997,2.157,4509.966666666666
12,34.666666666666664,2086.333333333333,3.0610000000000004,260.52099999999996,8.559,6.212000000000001,217.859,197.649,0.0644,0.0644,2.478,1.605,2.1069999999999998,2.2880000000000003,2.358,1.585,2.037,2.1069999999999998,1640.6
13,42.333333333333336,2245.0,5.102,209.419,8.427999999999999,6.313,219.46,198.34900000000002,0.0892,0.0743,2.508,1.625,2.167,2.298,2.388,1.595,2.037,2.177,2990.333333333333
14,48.66666666666666,3017.666666666666,4.082,177.355,8.603,6.212000000000001,219.96,201.451,0.0892,0.0743,2.478,1.595,2.097,2.298,2.378,1.635,2.097,2.117,3120.9666666666667
15,31.66666666666667,2223.0,3.0610000000000004,168.33700000000002,8.603,6.313,217.359,200.45,0.0694,0.0694,2.478,1.615,2.1069999999999998,2.278,2.388,1.595,2.057,2.177,2009.0666666666666
16,39.0,2197.0,4.082,143.287,8.34,6.212000000000001,219.86,203.05200000000002,0.0842,0.0743,2.478,1.645,2.077,2.278,2.378,1.676,2.1069999999999998,2.0269999999999997,2161.2
17,78.0,4715.0,5.102,291.58299999999997,8.559,6.212000000000001,217.459,201.15099999999998,0.0892,0.0941,2.478,1.585,2.1069999999999998,2.298,2.388,1.605,2.0269999999999997,2.157,11671.7
